date,heure,élu
2007-09-11,20:30,Jacques Chevalier
2007-09-11,20:30,Jacques Jaunatre
2007-09-11,20:30,Jean-Marie Gatard
2007-09-11,20:30,Jean-Paul Leray
2007-09-11,20:30,Jean Rondeau
2007-09-11,20:30,Louis-Marie Droneau
2007-09-11,20:30,Marie-Jo Batard
2007-09-11,20:30,Michel Gravouil
2007-09-11,20:30,Pierre Voyau
2007-09-11,20:30,Régine Cormier
2007-09-11,20:30,Sonia Bailly
2007-10-16,20:30,Alain Guilbaud
2007-10-16,20:30,Bernard Pennetier
2007-10-16,20:30,Georges Lecleve
2007-10-16,20:30,Gérard Bigot
2007-10-16,20:30,Gérard Guilbaud
2007-10-16,20:30,Jacques Chevalier
2007-10-16,20:30,Jean-Marie Gatard
2007-10-16,20:30,Jean-Paul Leray
2007-10-16,20:30,Jean Rondeau
2007-10-16,20:30,Louis-Marie Droneau
2007-10-16,20:30,Marie-Jo Batard
2007-10-16,20:30,Michel Gravouil
2007-10-16,20:30,Pierre Voyau
2007-10-16,20:30,Régine Cormier
2007-10-16,20:30,Sonia Bailly
2007-11-14,20:00,Alain Guilbaud
2007-11-14,20:00,Bernard Pennetier
2007-11-14,20:00,Georges Lecleve
2007-11-14,20:00,Gérard Bigot
2007-11-14,20:00,Gérard Guilbaud
2007-11-14,20:00,Jacques Chevalier
2007-11-14,20:00,Jacques Jaunatre
2007-11-14,20:00,Jean-Marie Gatard
2007-11-14,20:00,Jean-Paul Leray
2007-11-14,20:00,Jean Rondeau
2007-11-14,20:00,Louis-Marie Droneau
2007-11-14,20:00,Marie-Jo Batard
2007-11-14,20:00,Michel Gravouil
2007-11-14,20:00,Pierre Voyau
2007-12-19,20:00,Bernard Pennetier
2007-12-19,20:00,Georges Lecleve
2007-12-19,20:00,Gérard Guilbaud
2007-12-19,20:00,Jacques Chevalier
2007-12-19,20:00,Jacques Jaunatre
2007-12-19,20:00,Jean-Marie Gatard
2007-12-19,20:00,Jean-Paul Leray
2007-12-19,20:00,Jean Rondeau
2007-12-19,20:00,Louis-Marie Droneau
2007-12-19,20:00,Michel Gravouil
2007-12-19,20:00,Pierre Voyau
2007-12-19,20:00,Régine Cormier
2008-01-22,20:00,Alain Guilbaud
2008-01-22,20:00,Bernard Pennetier
2008-01-22,20:00,Georges Lecleve
2008-01-22,20:00,Gérard Bigot
2008-01-22,20:00,Gérard Guilbaud
2008-01-22,20:00,Jacques Chevalier
2008-01-22,20:00,Jacques Jaunatre
2008-01-22,20:00,Jean-Marie Gatard
2008-01-22,20:00,Jean-Paul Leray
2008-01-22,20:00,Jean Rondeau
2008-01-22,20:00,Louis-Marie Droneau
2008-01-22,20:00,Marie-Jo Batard
2008-01-22,20:00,Michel Gravouil
2008-01-22,20:00,Pierre Voyau
2008-01-22,20:00,Régine Cormier
2008-02-27,18:30,Bernard Pennetier
2008-02-27,18:30,Georges Lecleve
2008-02-27,18:30,Gérard Bigot
2008-02-27,18:30,Gérard Guilbaud
2008-02-27,18:30,Jacques Chevalier
2008-02-27,18:30,Jacques Jaunatre
2008-02-27,18:30,Jean-Marie Gatard
2008-02-27,18:30,Jean-Paul Leray
2008-02-27,18:30,Jean Rondeau
2008-02-27,18:30,Louis-Marie Droneau
2008-02-27,18:30,Marie-Jo Batard
2008-02-27,18:30,Michel Gravouil
2008-02-27,18:30,Pierre Voyau
2008-02-27,18:30,Sonia Bailly
2008-03-26,20:00,Alain Guilbaud
2008-03-26,20:00,Alice Biczysko
2008-03-26,20:00,Annie Bardoul
2008-03-26,20:00,Bernard Chazelas
2008-03-26,20:00,Eric Lombrey
2008-03-26,20:00,Georges Lecleve
2008-03-26,20:00,Jacques Chevalier
2008-03-26,20:00,Jean-Marie Gatard
2008-03-26,20:00,Jean-Paul Leray
2008-03-26,20:00,Jean-Pierre Grandjouan
2008-03-26,20:00,Lionel Lescurat
2008-03-26,20:00,Marie-Jo Batard
2008-03-26,20:00,Michèle Francheteau
2008-03-26,20:00,Michel Gravouil
2008-03-26,20:00,Nicolas Boucher
2008-03-26,20:00,Paul Pipaud
2008-03-26,20:00,Philippe Briand
2008-03-26,20:00,Philippe Gaillard
2008-03-26,20:00,Régine Cormier
2008-04-22,20:30,Alain Guilbaud
2008-04-22,20:30,Annie Bardoul
2008-04-22,20:30,Bernard Chazelas
2008-04-22,20:30,Eric Lombrey
2008-04-22,20:30,Georges Lecleve
2008-04-22,20:30,Jacques Chevalier
2008-04-22,20:30,Jean-Marie Gatard
2008-04-22,20:30,Jean-Paul Leray
2008-04-22,20:30,Jean-Pierre Grandjouan
2008-04-22,20:30,Marie-Jo Batard
2008-04-22,20:30,Michèle Francheteau
2008-04-22,20:30,Michel Gravouil
2008-04-22,20:30,Nicolas Boucher
2008-04-22,20:30,Paul Pipaud
2008-04-22,20:30,Philippe Briand
