2012-04-25,20:30,Jean-Pierre Grandjouan
2012-04-25,20:30,Lionel Lescurat
2012-04-25,20:30,Michèle Francheteau
2012-04-25,20:30,Michel Gravouil
2012-04-25,20:30,Nicolas Boucher
2012-04-25,20:30,Paul Pipaud
2012-04-25,20:30,Philippe Briand
2012-04-25,20:30,Régine Cormier
2012-05-22,20:30,Alice Biczysko
2012-05-22,20:30,Annie Bardoul
2012-05-22,20:30,Bernard Chazelas
2012-05-22,20:30,Eric Lombrey
2012-05-22,20:30,Jacques Chevalier
2012-05-22,20:30,Jean-Marie Gatard
2012-05-22,20:30,Jean-Paul Leray
2012-05-22,20:30,Jean-Pierre Grandjouan
2012-05-22,20:30,Michèle Francheteau
2012-05-22,20:30,Michel Gravouil
2012-05-22,20:30,Nicolas Boucher
2012-05-22,20:30,Paul Pipaud
2012-05-22,20:30,Philippe Briand
2012-05-22,20:30,Régine Cormier
2012-06-20,20:30,Alice Biczysko
2012-06-20,20:30,Annie Bardoul
2012-06-20,20:30,Eric Lombrey
2012-06-20,20:30,Georges Lecleve
2012-06-20,20:30,Jacques Chevalier
2012-06-20,20:30,Jean-Marie Gatard
2012-06-20,20:30,Jean-Paul Leray
2012-06-20,20:30,Jean-Pierre Grandjouan
2012-06-20,20:30,Lionel Lescurat
2012-06-20,20:30,Michel Gravouil
2012-06-20,20:30,Philippe Briand
2012-06-20,20:30,Régine Cormier
2012-07-10,20:30,Alice Biczysko
2012-07-10,20:30,Annie Bardoul
2012-07-10,20:30,Bernard Chazelas
2012-07-10,20:30,Georges Lecleve
2012-07-10,20:30,Jacques Chevalier
2012-07-10,20:30,Jean-Marie Gatard
2012-07-10,20:30,Jean-Paul Leray
2012-07-10,20:30,Jean-Pierre Grandjouan
2012-07-10,20:30,Michèle Francheteau
2012-07-10,20:30,Michel Gravouil
2012-07-10,20:30,Nicolas Boucher
2012-07-10,20:30,Régine Cormier
2012-09-12,20:30,Annie Bardoul
2012-09-12,20:30,Bernard Chazelas
2012-09-12,20:30,Eric Lombrey
2012-09-12,20:30,Georges Lecleve
2012-09-12,20:30,Jacques Chevalier
2012-09-12,20:30,Jean-Marie Gatard
2012-09-12,20:30,Jean-Paul Leray
2012-09-12,20:30,Jean-Pierre Grandjouan
2012-09-12,20:30,Michèle Francheteau
2012-09-12,20:30,Michel Gravouil
2012-09-12,20:30,Nicolas Boucher
2012-09-12,20:30,Philippe Briand
2012-09-12,20:30,Régine Cormier
2012-10-09,20:30,Annie Bardoul
2012-10-09,20:30,Bernard Chazelas
2012-10-09,20:30,Eric Lombrey
2012-10-09,20:30,Georges Lecleve
2012-10-09,20:30,Jacques Chevalier
2012-10-09,20:30,Jean-Marie Gatard
2012-10-09,20:30,Jean-Paul Leray
2012-10-09,20:30,Jean-Pierre Grandjouan
2012-10-09,20:30,Nicolas Boucher
2012-10-09,20:30,Paul Pipaud
2012-10-09,20:30,Philippe Briand
2012-10-09,20:30,Régine Cormier
2012-11-13,20:00,Alice Biczysko
2012-11-13,20:00,Annie Bardoul
2012-11-13,20:00,Bernard Chazelas
2012-11-13,20:00,Georges Lecleve
2012-11-13,20:00,Jacques Chevalier
2012-11-13,20:00,Jean-Marie Gatard
2012-11-13,20:00,Jean-Paul Leray
2012-11-13,20:00,Jean-Pierre Grandjouan
2012-11-13,20:00,Michèle Francheteau
2012-11-13,20:00,Michel Gravouil
2012-11-13,20:00,Nicolas Boucher
2012-11-13,20:00,Paul Pipaud
2012-12-12,20:00,Alice Biczysko
2012-12-12,20:00,Annie Bardoul
2012-12-12,20:00,Bernard Chazelas
2012-12-12,20:00,Georges Lecleve
2012-12-12,20:00,Jacques Chevalier
2012-12-12,20:00,Jean-Marie Gatard
2012-12-12,20:00,Jean-Paul Leray
2012-12-12,20:00,Jean-Pierre Grandjouan
2012-12-12,20:00,Michel Gravouil
2012-12-12,20:00,Paul Pipaud
2012-12-12,20:00,Philippe Briand
2012-12-12,20:00,Régine Cormier
2013-01-22,19:30,Alice Biczysko
2013-01-22,19:30,Annie Bardoul
2013-01-22,19:30,Bernard Chazelas
2013-01-22,19:30,Georges Lecleve
2013-01-22,19:30,Jacques Chevalier
2013-01-22,19:30,Jean-Marie Gatard
2013-01-22,19:30,Jean-Paul Leray
2013-01-22,19:30,Jean-Pierre Grandjouan
2013-01-22,19:30,Lionel Lescurat
2013-01-22,19:30,Michèle Francheteau
2013-01-22,19:30,Michel Gravouil
2013-01-22,19:30,Nicolas Boucher
2013-01-22,19:30,Paul Pipaud
2013-01-22,19:30,Philippe Briand
2013-01-22,19:30,Régine Cormier
2013-02-20,20:00,Annie Bardoul
2013-02-20,20:00,Bernard Chazelas
2013-02-20,20:00,Georges Lecleve
2013-02-20,20:00,Jacques Chevalier
2013-02-20,20:00,Jean-Marie Gatard
2013-02-20,20:00,Jean-Paul Leray
2013-02-20,20:00,Jean-Pierre Grandjouan
2013-02-20,20:00,Michel Gravouil
2013-02-20,20:00,Nicolas Boucher
2013-02-20,20:00,Paul Pipaud
2013-02-20,20:00,Philippe Briand
2013-02-20,20:00,Régine Cormier
2013-03-26,20:00,Annie Bardoul
2013-03-26,20:00,Bernard Chazelas
2013-03-26,20:00,Eric Lombrey
2013-03-26,20:00,Georges Lecleve
2013-03-26,20:00,Jacques Chevalier
2013-03-26,20:00,Jean-Marie Gatard
2013-03-26,20:00,Jean-Paul Leray
2013-03-26,20:00,Jean-Pierre Grandjouan
2013-03-26,20:00,Michèle Francheteau
2013-03-26,20:00,Michel Gravouil
2013-03-26,20:00,Nicolas Boucher
2013-03-26,20:00,Paul Pipaud
2013-03-26,20:00,Philippe Briand
2013-03-26,20:00,Régine Cormier
2013-04-17,20:30,Annie Bardoul
2013-04-17,20:30,Bernard Chazelas
2013-04-17,20:30,Georges Lecleve
2013-04-17,20:30,Jacques Chevalier
2013-04-17,20:30,Jean-Marie Gatard
2013-04-17,20:30,Jean-Paul Leray
2013-04-17,20:30,Jean-Pierre Grandjouan
2013-04-17,20:30,Michèle Francheteau
2013-04-17,20:30,Michel Gravouil
2013-04-17,20:30,Nicolas Boucher
2013-04-17,20:30,Paul Pipaud
2013-04-17,20:30,Philippe Briand
2013-04-17,20:30,Régine Cormier
2013-05-22,20:30,Alice Biczysko
2013-05-22,20:30,Annie Bardoul
2013-05-22,20:30,Georges Lecleve
2013-05-22,20:30,Jacques Chevalier
2013-05-22,20:30,Jean-Marie Gatard
2013-05-22,20:30,Jean-Paul Leray
2013-05-22,20:30,Jean-Pierre Grandjouan
2013-05-22,20:30,Michèle Francheteau
2013-05-22,20:30,Michel Gravouil
2013-05-22,20:30,Nicolas Boucher
2013-05-22,20:30,Paul Pipaud
2013-05-22,20:30,Philippe Briand
2013-05-22,20:30,Régine Cormier
2013-06-18,20:30,Alice Biczysko
2013-06-18,20:30,Annie Bardoul
2013-06-18,20:30,Bernard Chazelas
2013-06-18,20:30,Eric Lombrey
2013-06-18,20:30,Georges Lecleve
2013-06-18,20:30,Jacques Chevalier
2013-06-18,20:30,Jean-Marie Gatard
2013-06-18,20:30,Jean-Paul Leray
2013-06-18,20:30,Jean-Pierre Grandjouan
2013-06-18,20:30,Michel Gravouil
2013-06-18,20:30,Nicolas Boucher
2013-06-18,20:30,Paul Pipaud
2013-06-18,20:30,Philippe Briand
2013-07-02,20:30,Alice Biczysko
2013-07-02,20:30,Annie Bardoul
2013-07-02,20:30,Bernard Chazelas
2013-07-02,20:30,Eric Lombrey
2013-07-02,20:30,Georges Lecleve
2013-07-02,20:30,Jacques Chevalier
2013-07-02,20:30,Jean-Marie Gatard
2013-07-02,20:30,Jean-Paul Leray
2013-07-02,20:30,Jean-Pierre Grandjouan
2013-07-02,20:30,Michel Gravouil
2013-07-02,20:30,Nicolas Boucher
2013-07-02,20:30,Paul Pipaud
2013-07-02,20:30,Philippe Briand
2013-07-02,20:30,Régine Cormier
2013-09-10,20:30,Annie Bardoul
2013-09-10,20:30,Bernard Chazelas
2013-09-10,20:30,Eric Lombrey
2013-09-10,20:30,Georges Lecleve
2013-09-10,20:30,Jacques Chevalier
2013-09-10,20:30,Jean-Marie Gatard
2013-09-10,20:30,Jean-Paul Leray
2013-09-10,20:30,Jean-Pierre Grandjouan
2013-09-10,20:30,Michèle Francheteau
2013-09-10,20:30,Michel Gravouil
2013-09-10,20:30,Paul Pipaud
2013-09-10,20:30,Philippe Briand
2013-09-10,20:30,Régine Cormier
2013-10-22,20:30,Annie Bardoul
2013-10-22,20:30,Bernard Chazelas
2013-10-22,20:30,Jacques Chevalier
2013-10-22,20:30,Jean-Marie Gatard
2013-10-22,20:30,Jean-Paul Leray
2013-10-22,20:30,Jean-Pierre Grandjouan
2013-10-22,20:30,Nicolas Boucher
2013-10-22,20:30,Paul Pipaud
2013-10-22,20:30,Philippe Briand
2013-10-22,20:30,Régine Cormier
2013-11-19,20:00,Annie Bardoul
